timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
34598813,0.0005600339,0.0059858477,0.0029148988,3973,0,-0.017371975,0.22064927,-9.774143,3866,0
34607034,0.00087634136,0.0057017705,-0.00086469325,8221,0,-0.023191804,0.25221777,-9.8777275,3973,0
34608379,0.006968644,0.0011733115,-0.004318274,1345,0,0.015443187,0.20079754,-9.814208,8221,0
34610816,0.00227706,-0.00012699851,-0.0067879236,2437,0,0.053640075,0.18138835,-9.882076,1345,0
34614739,0.00064058066,-0.0039572767,-0.0040743635,3923,0,-0.023610426,0.19366111,-9.880253,2437,0
34618941,-0.0035889405,0.00061264867,0.0027550438,4202,0,-0.036835823,0.19287923,-9.772227,3923,0
34623417,-0.00927835,0.0067166933,0.004097625,4476,0,-0.015990209,0.25187463,-9.754013,4202,0
34626830,-0.0020412693,0.0053181006,-0.0008395255,3413,0,0.00023397431,0.25677148,-9.765674,4476,0
34630925,0.0016370278,-0.00079768983,0.00058670074,4095,0,0.050499946,0.18879306,-9.701852,3413,0
34634723,0.0035123033,-0.0067700353,0.00071216736,3798,0,0.070655584,0.17555934,-9.815173,4095,0
34638745,0.0011282994,0.0017193656,-0.0029291625,4022,0,0.05591689,0.22575107,-9.863444,3798,0
34642737,-0.006902111,0.003023277,-0.002879098,3992,0,-0.0057654344,0.23910135,-9.691269,4022,0
34646790,-0.0037856612,0.0020760784,0.0009192475,4053,0,-0.0004800391,0.21740538,-9.764184,3992,0
34650823,0.00015001307,0.0072196834,0.006081422,4033,0,0.07967261,0.23220412,-9.869264,4053,0
34654661,-0.0029639557,0.005742929,0.006883251,3838,0,0.09060421,0.22707202,-9.884989,4033,0
34658781,-0.005295588,0.0015364934,0.006681774,4120,0,0.017575439,0.17149886,-9.762152,3838,0
34662727,-0.00076585443,0.0013742691,0.002876383,3946,0,0.038072232,0.18151337,-9.727274,4120,0
